record_id,timestamp_alert,kafka_transit_ms,inference_ms,end2end_ms,confidence
REC_89,2026-05-10T16:43:00.400210,2.05,16.06,18.11,0.7493
REC_90,2026-05-10T16:43:00.448206,0.00,15.51,15.51,0.9990
REC_91,2026-05-10T16:43:00.506327,0.00,22.63,22.63,0.9997
REC_92,2026-05-10T16:43:00.544485,0.00,9.86,9.86,0.9985
REC_93,2026-05-10T16:43:00.591729,0.00,6.41,6.41,0.9985
REC_94,2026-05-10T16:43:00.655192,3.44,15.76,19.20,0.9710
REC_95,2026-05-10T16:43:00.707026,3.27,16.73,20.00,0.8517
REC_96,2026-05-10T16:43:00.754116,0.00,15.98,15.98,0.9495
REC_97,2026-05-10T16:43:00.807552,0.00,18.19,18.19,0.8833
REC_99,2026-05-10T16:43:00.914461,3.82,19.89,23.72,0.8593
REC_100,2026-05-10T16:43:00.981809,3.03,37.45,40.48,0.9790
REC_101,2026-05-10T16:43:01.013884,3.30,17.68,21.55,0.8879
REC_102,2026-05-10T16:43:01.065027,4.87,17.12,21.99,0.6812
REC_103,2026-05-10T16:43:01.134490,8.25,32.73,40.98,0.8879
REC_104,2026-05-10T16:43:01.161264,0.00,16.33,16.33,0.6812
REC_105,2026-05-10T16:43:01.215206,2.93,16.50,19.43,0.8879
REC_106,2026-05-10T16:43:01.261242,0.00,14.60,14.60,0.6812
REC_107,2026-05-10T16:43:01.339487,4.10,37.25,42.35,0.6244
REC_108,2026-05-10T16:43:01.367886,3.01,16.75,19.76,0.6812
REC_109,2026-05-10T16:43:01.407310,0.00,8.45,8.45,0.8791
REC_110,2026-05-10T16:43:01.461358,0.00,11.72,11.72,0.9891
REC_112,2026-05-10T16:43:01.591319,7.33,31.56,39.89,0.9708
REC_114,2026-05-10T16:43:01.681886,12.14,15.92,29.12,0.9231
REC_115,2026-05-10T16:43:01.714033,0.00,9.89,9.89,0.6665
REC_116,2026-05-10T16:43:01.775045,3.55,16.51,20.06,0.8276
REC_117,2026-05-10T16:43:01.829907,4.55,19.63,24.18,0.8293
REC_118,2026-05-10T16:43:01.879451,4.20,18.65,22.85,0.9769
REC_119,2026-05-10T16:43:01.931122,4.19,19.60,23.78,1.0000
REC_120,2026-05-10T16:43:01.980200,3.61,18.00,22.13,0.8276
REC_121,2026-05-10T16:43:02.023884,3.01,12.00,15.01,0.8293
REC_122,2026-05-10T16:43:02.079300,2.82,16.88,19.71,0.9991
REC_123,2026-05-10T16:43:02.118913,0.00,8.55,8.55,0.9514
REC_124,2026-05-10T16:43:02.182150,3.62,17.21,20.83,0.9439
REC_125,2026-05-10T16:43:02.228122,0.00,16.06,16.06,0.9232
REC_126,2026-05-10T16:43:02.275968,0.00,12.92,12.92,0.8344
REC_127,2026-05-10T16:43:02.338191,6.73,17.44,24.17,0.9883
REC_128,2026-05-10T16:43:02.376336,0.00,10.57,10.57,0.9990
REC_129,2026-05-10T16:43:02.438406,0.00,21.74,21.74,0.9933
REC_130,2026-05-10T16:43:02.475724,0.00,8.26,8.26,0.9714
REC_131,2026-05-10T16:43:02.525801,3.01,4.55,7.56,0.9851
REC_132,2026-05-10T16:43:02.590324,0.00,20.95,20.95,0.7232
REC_133,2026-05-10T16:43:02.642744,3.19,19.11,22.30,0.9279
REC_135,2026-05-10T16:43:02.741361,2.82,15.59,19.40,0.9017
REC_136,2026-05-10T16:43:02.794256,4.10,16.47,21.57,0.9017
REC_137,2026-05-10T16:43:02.845798,3.01,17.56,21.57,0.9756
REC_139,2026-05-10T16:43:02.945917,0.00,19.21,19.21,0.8407
REC_140,2026-05-10T16:43:02.993465,0.00,15.77,15.77,0.9756
REC_141,2026-05-10T16:43:03.048680,3.05,16.96,20.01,0.9534
REC_142,2026-05-10T16:43:03.103857,0.00,24.00,24.00,0.9991
REC_143,2026-05-10T16:43:03.135412,0.00,4.56,4.56,0.9534
REC_144,2026-05-10T16:43:03.212558,0.00,25.09,30.89,0.8479
REC_146,2026-05-10T16:43:03.308289,3.97,20.32,24.87,0.9756
REC_147,2026-05-10T16:43:03.353125,1.79,16.85,18.64,0.9382
REC_149,2026-05-10T16:43:03.448626,0.00,12.09,12.09,0.9927
REC_150,2026-05-10T16:43:03.508596,3.56,17.99,21.55,0.9385
REC_151,2026-05-10T16:43:03.556704,2.57,16.14,18.71,0.9967
REC_152,2026-05-10T16:43:03.608338,3.34,16.18,19.52,0.9338
REC_153,2026-05-10T16:43:03.665068,4.02,21.12,25.14,0.8628
REC_155,2026-05-10T16:43:03.759674,2.01,15.78,17.79,0.8534
REC_156,2026-05-10T16:43:03.811970,3.01,15.00,19.01,0.9951
REC_157,2026-05-10T16:43:03.853388,0.00,9.73,9.73,0.9838
REC_158,2026-05-10T16:43:03.922077,0.00,27.63,27.63,0.9889
REC_159,2026-05-10T16:43:03.962849,1.55,13.12,17.25,0.9522
REC_160,2026-05-10T16:43:04.010863,0.00,14.06,14.06,0.9537
REC_161,2026-05-10T16:43:04.055910,0.00,7.99,7.99,0.9709
REC_162,2026-05-10T16:43:04.104454,0.00,5.10,5.10,0.8440
REC_163,2026-05-10T16:43:04.171274,3.26,17.79,21.05,0.7948
REC_164,2026-05-10T16:43:04.213538,0.00,12.67,12.67,0.9709
REC_165,2026-05-10T16:43:04.270871,3.10,16.28,19.38,0.9808
REC_166,2026-05-10T16:43:04.307853,0.00,5.23,5.23,0.9453
REC_167,2026-05-10T16:43:04.368999,3.25,12.00,15.25,0.9144
REC_168,2026-05-10T16:43:04.423838,2.95,15.48,19.44,0.9738
REC_169,2026-05-10T16:43:04.477154,4.13,17.58,21.72,0.9939
REC_170,2026-05-10T16:43:04.523747,1.01,16.57,17.58,0.8738
REC_171,2026-05-10T16:43:04.580910,5.01,19.07,24.07,0.9492
REC_172,2026-05-10T16:43:04.628740,0.00,20.95,20.95,0.7828
REC_173,2026-05-10T16:43:04.680993,3.01,18.94,21.95,0.8024
REC_174,2026-05-10T16:43:04.729833,3.01,17.00,20.01,0.9570
REC_175,2026-05-10T16:43:04.779741,2.58,16.85,19.43,0.9715
REC_176,2026-05-10T16:43:04.829951,2.35,15.69,19.04,0.7800
REC_177,2026-05-10T16:43:04.881928,3.01,16.25,20.26,0.9587
REC_178,2026-05-10T16:43:04.932629,3.05,16.88,19.93,0.9338
REC_179,2026-05-10T16:43:04.969617,0.00,6.44,6.44,0.9716
REC_180,2026-05-10T16:43:05.024138,3.01,7.04,10.05,0.9944
REC_181,2026-05-10T16:43:05.072496,0.00,7.71,7.71,0.9420
REC_182,2026-05-10T16:43:05.135056,0.00,19.09,19.09,0.9901
REC_183,2026-05-10T16:43:05.180822,3.60,10.05,13.65,0.9655
REC_187,2026-05-10T16:43:05.383767,0.00,13.20,13.20,0.9310
REC_188,2026-05-10T16:43:05.451674,0.00,30.21,30.21,0.9839
REC_189,2026-05-10T16:43:05.494264,3.69,18.07,21.76,0.9905
REC_190,2026-05-10T16:43:05.548942,4.12,21.33,25.46,0.9731
REC_191,2026-05-10T16:43:05.598603,4.54,19.04,24.14,0.9866
REC_192,2026-05-10T16:43:05.634593,0.00,9.09,9.09,0.8699
REC_193,2026-05-10T16:43:05.695945,3.01,16.23,19.23,0.9705
